Year,Gtm,Month,Home,Opp,Win,pitchIP,pitchH,pitchR,pitchER,pitchUER,pitchBB,pitchSO,pitchHR,pitchHBP,pitchERA,pitchBF,pitchPit,pitchStr,pitchIR,pitchIS,pitchSB,pitchCS,pitchAB,pitch1B,pitch2B,pitch3B,pitchIBB,pitchSH,pitchSF,pitchROE,pitchGDP,numPitchers,PA,AB,R,H,1B,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,Thr,OppStarter,OppGameScore,RD
2022,41,May,0,MIA,0,8,8,4,4,0,4,9,0,1,3.87,37,136,88,1,1,1,0,30,5,3,0,0,0,2,0,0,3,35,33,3,6,3,3,0,0,3,2,0,7,0,0,0,1,0,1,1,0.224,0.298,0.392,0.69,5,R,S.Alcantara(74),74,-1
2022,42,May,1,PHI,0,9,10,7,7,0,8,11,0,0,3.94,44,187,113,2,1,1,0,36,7,2,1,0,0,0,0,1,5,37,36,3,11,9,2,0,0,3,1,0,12,0,0,0,0,1,0,0,0.226,0.298,0.391,0.689,7,R,Z.Wheeler(60),60,-4
2022,43,May,1,PHI,1,9,10,5,5,0,4,9,1,0,3.97,41,162,95,0,0,0,0,36,7,2,0,1,0,1,0,0,4,38,34,6,14,12,1,0,1,6,2,0,13,0,0,2,1,1,0,2,0.23,0.301,0.394,0.696,8,R,K.Gibson(52),52,1
2022,44,May,1,PHI,1,9,11,4,4,0,3,9,1,1,3.97,41,164,113,1,0,0,0,37,8,2,0,0,0,0,0,0,3,41,34,8,13,8,2,0,3,7,7,0,12,0,0,0,0,2,0,0,0.234,0.306,0.402,0.708,9,L,R.Suárez(31),31,4
2022,45,May,1,PHI,0,9,6,4,4,0,2,7,1,1,3.97,35,122,83,2,2,0,0,32,3,2,0,0,0,0,0,1,4,34,32,1,5,3,2,0,0,0,1,0,11,1,0,0,0,0,0,0,0.232,0.304,0.398,0.702,6,R,A.Nola(79),79,-3
2022,46,May,1,MIA,1,9,5,4,4,0,3,10,2,0,3.97,35,144,98,0,0,1,0,32,3,0,0,0,0,0,1,1,4,33,30,6,6,1,4,0,1,6,3,0,7,0,0,0,0,0,0,0,0.232,0.303,0.398,0.702,3,L,T.Rogers(49),49,2
2022,47,May,1,MIA,0,9,8,4,4,0,6,6,1,0,3.97,40,155,98,0,0,2,0,33,6,1,0,0,0,1,0,1,4,31,29,1,5,4,1,0,0,1,1,0,16,1,0,0,0,1,1,0,0.231,0.302,0.395,0.697,3,R,S.Alcantara(84),84,-3
2022,48,May,1,MIA,1,9,7,3,3,0,4,9,2,1,3.95,38,153,97,0,0,0,0,33,5,0,0,0,0,0,0,1,4,35,35,6,11,2,6,0,3,6,0,0,6,0,0,0,0,0,2,0,0.232,0.302,0.402,0.705,5,R,E.Hernandez(35),35,3
2022,49,May,0,ARI,0,8,7,6,3,3,3,9,1,0,3.94,34,132,87,2,2,0,0,31,3,3,0,0,0,0,1,0,5,37,35,2,8,5,2,0,1,1,2,0,8,0,0,0,0,0,0,0,0.232,0.302,0.402,0.703,8,R,Z.Gallen(51),51,-4
2022,50,May,0,ARI,0,9.1,12,8,6,2,4,7,1,1,3.98,42,169,104,2,2,1,0,35,8,3,0,2,0,2,0,2,6,42,39,7,14,9,4,0,1,7,2,0,8,1,0,0,0,2,0,0,0.235,0.304,0.405,0.709,6,R,H.Castellanos(33),33,-1
2022,51,Jun,0,ARI,1,9,3,0,0,0,5,9,0,0,3.9,34,129,85,0,0,0,0,29,2,1,0,0,0,0,0,1,3,43,39,6,12,6,5,0,1,6,4,0,11,0,0,0,0,0,0,0,0.237,0.305,0.407,0.713,10,L,M.Bumgarner(54),54,6
2022,52,Jun,0,COL,1,9,13,6,6,0,3,12,2,0,3.94,40,159,102,0,0,0,0,37,8,3,0,0,0,0,0,3,4,47,45,13,18,9,6,1,2,13,2,0,7,0,0,0,0,0,1,0,0.241,0.308,0.415,0.724,7,L,A.Gomber(14),14,7
2022,53,Jun,0,COL,1,10,3,1,0,1,1,8,0,0,3.86,34,128,91,0,0,0,0,33,2,1,0,0,0,0,0,0,3,43,36,3,8,8,0,0,0,2,6,1,7,1,0,0,1,1,0,2,0.241,0.309,0.411,0.721,11,R,C.Kuhl(63),63,2
2022,54,Jun,0,COL,1,11,3,2,1,1,6,11,0,0,3.79,41,176,104,0,0,0,0,35,3,0,0,0,0,0,0,1,7,45,43,6,10,4,3,1,2,6,1,0,7,0,0,1,1,0,0,0,0.241,0.308,0.413,0.721,8,L,K.Freeland(65),65,4
2022,55,Jun,0,COL,1,9,12,7,7,0,4,12,3,0,3.85,43,165,109,0,0,0,0,39,7,2,0,0,0,0,0,0,5,43,39,8,11,7,1,1,2,7,3,0,11,1,0,0,1,0,1,0,0.241,0.309,0.415,0.724,8,R,R.Feltner(23),23,1
2022,56,Jun,1,OAK,1,9,5,2,2,0,0,8,0,0,3.81,31,113,80,0,0,0,0,31,5,0,0,0,0,0,0,1,2,33,32,3,9,5,1,0,3,3,1,0,12,0,0,0,0,0,0,1,0.242,0.309,0.418,0.727,6,L,C.Irvin(51),51,1
2022,57,Jun,1,OAK,1,9,8,2,2,0,2,7,0,0,3.78,35,122,84,0,0,0,1,33,7,1,0,0,0,0,0,1,4,40,36,13,13,4,4,1,4,13,3,0,6,0,0,1,1,0,0,1,0.244,0.31,0.427,0.737,3,L,J.Koenig(37),37,11
2022,58,Jun,1,PIT,1,9,8,1,1,0,0,13,1,0,3.73,33,134,94,0,0,0,1,33,7,0,0,0,0,0,0,1,4,32,29,3,6,5,1,0,0,3,2,0,9,1,0,0,0,1,1,0,0.244,0.31,0.424,0.734,5,R,J.Brubaker(58),58,2
2022,59,Jun,1,PIT,1,9,8,2,2,0,1,13,0,0,3.7,36,147,100,5,1,0,0,34,7,1,0,0,0,1,0,0,6,36,33,4,10,6,3,0,1,4,2,1,8,1,0,0,0,0,1,1,0.245,0.311,0.425,0.735,8,R,R.Contreras(40),40,2
2022,60,Jun,1,PIT,1,9,6,4,4,0,2,16,2,1,3.71,35,146,94,0,0,1,0,32,2,2,0,0,0,0,0,1,3,37,33,10,8,4,1,0,3,10,3,1,8,1,0,0,1,1,1,0,0.245,0.311,0.427,0.738,3,R,Z.Thompson(56),56,6
2022,61,Jun,1,PIT,1,9,7,3,3,0,2,10,1,0,3.7,34,114,75,0,0,0,1,31,5,1,0,0,0,1,0,1,4,34,31,5,7,1,2,0,4,5,3,0,7,0,0,0,0,0,0,0,0.244,0.311,0.431,0.741,5,L,J.Quintana(42),42,2
2022,62,Jun,0,WSN,1,9,10,5,5,0,5,7,1,0,3.72,40,143,91,3,2,0,0,35,7,2,0,0,0,0,0,1,5,42,36,9,10,5,0,0,5,9,4,0,7,2,0,0,0,1,0,0,0.245,0.312,0.435,0.747,6,R,E.Ramírez(25),25,4
2022,63,Jun,0,WSN,1,9,7,4,4,0,1,8,0,0,3.72,35,153,101,2,0,0,0,33,6,1,0,0,0,1,0,0,3,45,39,10,13,7,1,0,5,9,4,0,8,1,0,1,0,0,0,0,0.247,0.314,0.441,0.754,8,R,J.Tetreault(17),17,6
2022,64,Jun,0,WSN,1,9,4,2,2,0,3,12,1,1,3.7,36,162,109,1,1,0,0,32,3,0,0,0,0,0,3,1,4,46,40,8,14,10,1,0,3,8,6,0,9,0,0,0,0,1,0,0,0.249,0.316,0.444,0.76,11,R,E.Fedde(43),43,6
2022,65,Jun,0,CHC,0,8,3,1,1,0,1,10,0,2,3.66,29,116,75,0,0,1,0,24,3,0,0,0,1,1,0,1,2,35,29,0,2,1,1,0,0,0,5,0,11,1,0,0,0,0,0,0,0.246,0.315,0.439,0.754,8,R,K.Thompson(75),75,-1
2022,66,Jun,0,CHC,0,8,13,6,6,0,2,12,1,0,3.7,38,127,86,0,0,1,0,36,10,2,0,0,0,0,0,1,3,38,34,3,9,7,1,0,1,3,3,0,9,0,0,1,1,1,0,0,0.246,0.315,0.438,0.753,8,L,J.Steele(49),49,-3
2022,67,Jun,0,CHC,1,9,6,0,0,0,3,8,0,1,3.65,35,137,87,4,0,0,1,31,6,0,0,0,0,0,0,1,4,37,36,6,9,2,5,0,2,6,1,0,11,0,0,0,0,0,2,0,0.246,0.314,0.44,0.754,4,R,K.Hendricks(28),28,6
2022,68,Jun,1,SFG,1,9,8,1,1,0,2,12,0,0,3.61,35,142,94,3,1,0,0,33,8,0,0,0,0,0,0,1,3,35,34,2,9,6,1,1,1,2,1,0,9,0,0,0,0,1,1,0,0.247,0.314,0.44,0.754,7,R,L.Webb(68),68,1
2022,69,Jun,1,SFG,0,9,14,12,12,0,4,10,2,1,3.73,44,172,106,4,2,0,0,37,9,3,0,1,0,2,0,0,5,42,39,10,12,8,0,0,4,9,2,0,6,1,0,0,0,1,0,0,0.248,0.314,0.443,0.757,5,R,A.DeSclafani(29),29,-2
2022,70,Jun,1,SFG,1,9,6,3,3,0,0,14,2,1,3.72,36,147,99,0,0,2,0,35,4,0,0,0,0,0,2,0,3,34,33,4,7,5,1,0,1,4,1,0,13,0,0,0,0,0,1,0,0.247,0.313,0.442,0.755,4,L,C.Rodón(76),76,1
2022,71,Jun,1,SFG,1,9,14,6,6,0,2,9,2,2,3.75,41,149,100,2,0,0,0,37,11,1,0,0,0,0,0,4,4,39,33,7,10,6,2,0,2,7,3,0,7,2,0,1,0,0,0,0,0.248,0.314,0.443,0.757,8,L,A.Wood(20),20,1
2022,72,Jun,1,LAD,0,9,9,4,4,0,4,11,1,0,3.76,40,159,95,3,1,0,0,35,7,1,0,0,0,1,0,0,4,34,31,1,6,5,1,0,0,1,2,0,10,0,0,1,1,1,0,1,0.247,0.313,0.44,0.754,6,L,J.Urías(69),69,-3
2022,73,Jun,1,LAD,1,9,9,3,3,0,2,16,1,0,3.74,37,154,101,2,1,2,0,35,7,1,0,0,0,0,0,1,4,36,33,5,9,4,3,0,2,5,3,0,8,0,0,0,1,0,1,1,0.248,0.314,0.442,0.755,7,R,M.White(41),41,2
2022,74,Jun,1,LAD,0,11,12,5,3,2,3,13,0,0,3.72,48,191,129,2,0,3,0,45,9,3,0,2,0,0,0,0,8,46,39,3,8,6,2,0,0,3,5,0,12,1,0,1,0,1,1,0,0.247,0.313,0.439,0.752,12,R,T.Gonsolin(58),58,-2
2022,75,Jun,0,PHI,1,9,8,3,3,0,4,10,1,0,3.71,37,152,96,2,0,1,0,33,6,0,1,0,0,0,0,0,4,37,35,5,8,3,2,0,3,5,1,0,11,1,0,0,0,0,0,0,0.247,0.313,0.44,0.753,5,R,Z.Wheeler(58),58,2
2022,76,Jun,0,PHI,1,9,4,1,1,0,3,9,1,0,3.68,34,134,85,0,0,0,0,31,2,1,0,0,0,0,0,0,3,35,33,4,8,5,2,0,1,4,2,0,9,0,0,0,0,1,1,1,0.247,0.313,0.44,0.752,4,L,R.Suárez(51),51,3
2022,77,Jun,0,PHI,0,8,13,14,14,0,5,5,5,0,3.82,42,154,94,1,0,1,0,37,6,2,0,0,0,0,0,0,5,37,36,4,9,7,0,0,2,4,1,0,9,0,0,0,0,0,0,0,0.247,0.312,0.439,0.751,6,R,A.Nola(54),54,-10
